date,LoggerID,FullLoggerID,TempInSitu,ECond.mS.cm,Salinity_psu,drift.correction.ec
2023-02-24T16:50:00Z,323,CT_323_HighSGD_20230302,29.689999999999998,58358.20674799437,35.22336051973782,945.2067479943697
2023-02-24T16:55:00Z,323,CT_323_HighSGD_20230302,29.689999999999998,58358.37013723343,35.22347174890359,945.3701372334353
2023-02-24T17:00:00Z,323,CT_323_HighSGD_20230302,29.68,58358.5335264725,35.23089346015622,945.5335264725009
2023-02-24T17:05:00Z,323,CT_323_HighSGD_20230302,29.65,58358.69691571157,35.25295160944628,945.6969157115665
2023-02-24T17:10:00Z,323,CT_323_HighSGD_20230302,29.63,58358.860304950635,35.26770707332806,945.8603049506321
2023-02-24T17:15:00Z,323,CT_323_HighSGD_20230302,29.599999999999998,58359.023694189695,35.28980399138004,946.0236941896976
2023-02-24T17:20:00Z,323,CT_323_HighSGD_20230302,29.58,58359.18708342876,35.30458537095323,946.1870834287632
2023-02-24T17:25:00Z,323,CT_323_HighSGD_20230302,29.549999999999997,58359.35047266783,35.326721148054546,946.3504726678287
2023-02-24T17:30:00Z,323,CT_323_HighSGD_20230302,29.529999999999998,58359.5138619069,35.341528503670226,946.5138619068944
2023-02-24T17:35:00Z,323,CT_323_HighSGD_20230302,29.49,58359.67725114596,35.37106276843211,946.67725114596
2023-02-24T17:40:00Z,323,CT_323_HighSGD_20230302,29.47,58359.840640385024,35.385901356017015,946.8406403850255
2023-02-24T17:45:00Z,323,CT_323_HighSGD_20230302,29.43,58360.00402962409,35.415498028147404,947.0040296240911
2023-02-24T17:50:00Z,323,CT_323_HighSGD_20230302,29.4,58360.16741886316,35.43775085463426,947.1674188631566
2023-02-24T17:55:00Z,323,CT_323_HighSGD_20230302,29.38,58360.33080810222,35.452636454100826,947.3308081022222
2023-02-24T18:00:00Z,323,CT_323_HighSGD_20230302,29.34,58360.494197341286,35.48232706512069,947.4941973412879
2023-02-24T18:05:00Z,323,CT_323_HighSGD_20230302,29.32,58360.65758658035,35.497244115571426,947.6575865803534
2023-02-24T18:10:00Z,323,CT_323_HighSGD_20230302,29.29,58360.82097581942,35.51958332397037,947.820975819419
2023-02-24T18:15:00Z,323,CT_323_HighSGD_20230302,29.279999999999998,58360.98436505849,35.52710978427773,947.9843650584845
2023-02-24T18:20:00Z,323,CT_323_HighSGD_20230302,29.24,58361.14775429755,35.55690529992633,948.1477542975501
2023-02-24T18:25:00Z,323,CT_323_HighSGD_20230302,29.23,58361.311143536615,35.56444499462074,948.3111435366158
2023-02-24T18:30:00Z,323,CT_323_HighSGD_20230302,29.2,58361.47453277568,35.58685526258712,948.4745327756813
2023-02-24T18:35:00Z,323,CT_323_HighSGD_20230302,29.189999999999998,58361.63792201475,35.59440557675247,948.6379220147469
2023-02-24T18:40:00Z,323,CT_323_HighSGD_20230302,29.16,58361.80131125381,35.616847538985944,948.8013112538124
2023-02-24T18:45:00Z,323,CT_323_HighSGD_20230302,29.15,58361.96470049288,35.62440849248141,948.964700492878
2023-02-24T18:50:00Z,323,CT_323_HighSGD_20230302,29.13,58362.128089731945,35.63942585020917,949.1280897319436
2023-02-24T18:55:00Z,323,CT_323_HighSGD_20230302,29.099999999999998,58362.29147897101,35.661915465193196,949.2914789710092
2023-02-24T19:00:00Z,323,CT_323_HighSGD_20230302,29.09,58362.45486821007,35.66949241502108,949.4548682100748
2023-02-24T19:05:00Z,323,CT_323_HighSGD_20230302,29.06,58362.61825744914,35.6920138729407,949.6182574491403
2023-02-24T19:10:00Z,323,CT_323_HighSGD_20230302,29.049999999999997,58362.78164668821,35.6996015119494,949.7816466882059
2023-02-24T19:15:00Z,323,CT_323_HighSGD_20230302,29.04,58362.945035927274,35.70719183858117,949.9450359272715
2023-02-24T19:20:00Z,323,CT_323_HighSGD_20230302,29.009999999999998,58363.108425166334,35.72975322072611,950.108425166337
2023-02-24T19:25:00Z,323,CT_323_HighSGD_20230302,29,58363.2718144054,35.73735426159096,950.2718144054027
2023-02-24T19:30:00Z,323,CT_323_HighSGD_20230302,28.98,58363.43520364447,35.75245148503321,950.4352036444683
2023-02-24T19:35:00Z,323,CT_323_HighSGD_20230302,28.95,58363.598592883536,35.77506085597871,950.5985928835338
2023-02-24T19:40:00Z,323,CT_323_HighSGD_20230302,28.939999999999998,58363.761982122596,35.78267800585804,950.7619821225994
2023-02-24T19:45:00Z,323,CT_323_HighSGD_20230302,28.93,58363.92537136166,35.79029785722728,950.9253713616649
2023-02-24T19:50:00Z,323,CT_323_HighSGD_20230302,28.91,58364.08876060073,35.80543255694,951.0887606007306
2023-02-24T19:55:00Z,323,CT_323_HighSGD_20230302,28.889999999999997,58364.2521498398,35.820577979780495,951.2521498397962
2023-02-24T20:00:00Z,323,CT_323_HighSGD_20230302,28.88,58364.41553907886,35.8282113085589,951.4155390788617
2023-02-24T20:05:00Z,323,CT_323_HighSGD_20230302,28.86,58364.578928317926,35.84337285949807,951.5789283179273
