Taxa,Identification_notes,C_only,Genus,Family,Taxon_Group,Identified,Morphology,Morph,Secondary_Morphology,Morph2,Symbiosis,Symb,Calcification,Calc,Energetic_Resource,ER,Feeding_Mode,FM,Life_Span,Teixido life span,Growth_rate,GR_unit,GR_Teixido,GR_cat,Max_size,MS_unit,MS_cat,Observation_notes
Dictyosphaeria sp.,"(Forsskal) Borgesen, 1932; combined Dictyosphaeria cavernosa and versluysii",,Dictyosphaeria,Siphonocladaceae,Chlorophyta,yes,Vesiculate,Ves,Cushion-like,Cushion,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,,0.005,g day-1,,,13,"cm, diameter",10-20 cm,
Dictyota bartayresiana,"J.V.Lamouroux, 1809",,Dictyota,Dictyotacea,Phaeophyta,yes,Branched Matting,Br Mat,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,"3-11 months, based on D. spiralis, D. fasciola, D. dichotoma",,,"high (5-10 cm/yr), based on D. spiralis, D. fasciola, D. dichotoma",,15,"cm, diameter",10-20 cm,
Dictyota friabilis,"Setchell, 1926",,Dictyota,Dictyotacea,Phaeophyta,yes,Branched Matting,Br Mat,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,"3-11 months, based on D. spiralis, D. fasciola, D. dichotoma",,,"high (5-10 cm/yr), based on D. spiralis, D. fasciola, D. dichotoma",,15,"cm, diameter",10-20 cm,
Discosoma nummiforme,"Ruppell and Leuckart, 1828",,Discosoma,Discosomidae,Cnidaria,yes,Polypoid,Poly,Polypoid,Poly,Symbiodineaceae,Symb,Non-Calcified,NC,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,10,"cm, diameter",< 10cm,
Fungiidae sp.,Dana 1846,,Fungiidae,Fungiidae,Cnidaria,yes,Mushroom,Mush,Mushroom,Mush,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,,,,,,,21-50 cm,max size category estimated from field survey
Fuzz,,yes,NA,NA,Phaeophyta,yes,Filamentous,Fil,Filamentous,Fil,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,,,,,,,,< 10cm,max size category estimated from field survey
Galaxaura divaricata,"(Linnaeus) Huisman & R.A.Townsend, 1993, previously Galaxaura divaricata",,Galaxaura,Galaxauraceae,Rhodophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,,,,,,8,"cm, height",< 10cm,
Galaxaura rugosa,"(J.Ellis & Solander) J.V.Lamouroux, 1816",,Galaxaura,Galaxauraceae,Rhodophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,,,,,,5,"cm, height",< 10cm,
Goniastrea stelligera,"Dana, 1846; max size based on G. pectinata and G. palauensis",no,Goniastrea,Merulinidae,Cnidaria,yes,Massive,Mas,Massive,Mas,Symbiodineaceae,Symb,Hermatypic,Herm,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,10,mm yr-1,slow (1 cm/yr),,29-40,"cm, length",21-50 cm,
Gracilaria verrucosa,"(Hudson) Papenfuss, 1950; now Gracilariopsis longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Famham, 1995",,Gracilaria,Gracilariaceae,Rhodophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Perennial,,7.40%,day-1,very high (>10 cm/yr) Meenakshisundaram et al. 2011,,20,"cm, height",10-20 cm,
