SpeciesID,DaysInSitu,Sp,SpRep,AT,ET,delWeight.g,delWeight.g_biomnorm,pWeight,delWeight.mg_biomnorm_day,delTopLength.cm,pLength,delVolume.ml,pVolume
PR1HH,58,PR,1,HIGH,HIGH,5.193221445554755,0.4746964063744942,47.469640637449416,8.184420799560243,NA,NA,NA,NA
PR2HH,58,PR,2,HIGH,HIGH,4.513059307066966,0.29333710999895685,29.33371099989569,5.057536379292359,NA,NA,NA,NA
PR2HL,58,PR,2,HIGH,LOW,6.880090231684864,0.3878280462305381,38.78280462305381,6.686690452250658,NA,NA,NA,NA
PR3HH,58,PR,3,HIGH,HIGH,7.872585217109773,0.5128438005820812,51.28438005820812,8.842134492794505,NA,NA,NA,NA
PR4HH,58,PR,4,HIGH,HIGH,7.208699637480574,0.3781505596168568,37.81505596168568,6.5198372347733935,NA,NA,NA,NA
PR4HL,58,PR,4,HIGH,LOW,5.675663494701041,0.35210222412636705,35.2102224126367,6.070728002178742,NA,NA,NA,NA
PR5HH,58,PR,5,HIGH,HIGH,5.633704117046124,0.4616211139120155,46.16211139120155,7.958984722620957,NA,NA,NA,NA
PR5HL,58,PR,5,HIGH,LOW,7.429420796031272,0.6033952127699295,60.33952127699295,10.403365737412576,NA,NA,NA,NA
PR6HL,58,PR,6,HIGH,LOW,10.931752870636952,0.5491076400527604,54.91076400527603,9.467373104357936,NA,NA,NA,NA
PR6HH,58,PR,6,HIGH,HIGH,4.063507770693768,0.24111844589723275,24.111844589723276,4.157214584435048,NA,NA,NA,NA
PR7HH,58,PR,7,HIGH,HIGH,6.411596570347424,0.2411755887158921,24.11755887158921,4.158199805446416,NA,NA,NA,NA
PR8HH,58,PR,8,HIGH,HIGH,6.774863128844526,0.4448233521203565,44.48233521203564,7.669368140006146,NA,NA,NA,NA
PR8HL,58,PR,8,HIGH,LOW,5.611654476028566,0.4755267350732936,47.55267350732936,8.19873681160851,NA,NA,NA,NA
PR9HH,58,PR,9,HIGH,HIGH,10.556193780952338,0.4768384746391651,47.683847463916514,8.221353011020089,NA,NA,NA,NA
PR9HL,58,PR,9,HIGH,LOW,9.75083801504054,0.4597332023482571,45.97332023482571,7.926434523245812,NA,NA,NA,NA
PR10HH,58,PR,10,HIGH,HIGH,3.46241251561203,0.26514859247354433,26.514859247354433,4.57152745644042,NA,NA,NA,NA
PR10HL,58,PR,10,HIGH,LOW,3.406129894625776,0.2461556312852523,24.61556312852523,4.244062608366419,NA,NA,NA,NA
PR11HH,58,PR,11,HIGH,HIGH,7.932674001542928,0.3280819342889572,32.80819342889572,5.656585073947538,NA,NA,NA,NA
PR11HL,58,PR,11,HIGH,LOW,10.236279116196927,0.47017072455234227,47.01707245523423,8.106391802626591,NA,NA,NA,NA
PR12HH,58,PR,12,HIGH,HIGH,5.9806603339776,0.2822807201204399,28.22807201204399,4.866908967593792,NA,NA,NA,NA
PR12HL,58,PR,12,HIGH,LOW,7.760612055947735,0.4047125394419723,40.47125394419723,6.9778024041719355,NA,NA,NA,NA
PA13HL,50,PA,13,HIGH,LOW,5.089485748594015,0.26422474690365777,26.422474690365775,5.284494938073156,NA,NA,NA,NA
PA13HH,50,PA,13,HIGH,HIGH,2.758120747644673,0.17995485251868332,17.99548525186833,3.5990970503736666,NA,NA,NA,NA
PA12HL,50,PA,12,HIGH,LOW,5.1656732881818215,0.27335918812558496,27.335918812558496,5.4671837625116995,NA,NA,NA,NA
PA12HH,50,PA,12,HIGH,HIGH,6.287920667889008,0.33893824217497875,33.89382421749787,6.778764843499576,NA,NA,NA,NA
PA11HL,50,PA,11,HIGH,LOW,2.691659098169658,0.18511193365562892,18.511193365562892,3.7022386731125785,NA,NA,NA,NA
PA11HH,50,PA,11,HIGH,HIGH,3.878908022182976,0.3130269163024799,31.302691630247992,6.260538326049598,NA,NA,NA,NA
PA10HH,50,PA,10,HIGH,HIGH,9.485865224062056,0.3262335269729424,32.62335269729424,6.524670539458848,NA,NA,NA,NA
PA10HL,50,PA,10,HIGH,LOW,8.712905474720014,0.4292164947964181,42.92164947964181,8.584329895928361,NA,NA,NA,NA
PA9HL,50,PA,9,HIGH,LOW,6.084264076197126,0.30121887878473713,30.12188787847371,6.024377575694743,NA,NA,NA,NA
PA9HH,50,PA,9,HIGH,HIGH,4.712920634918309,0.17615985051060298,17.6159850510603,3.5231970102120593,NA,NA,NA,NA
PA8HL,50,PA,8,HIGH,LOW,6.076841799907399,0.45378409079553367,45.37840907955336,9.075681815910674,NA,NA,NA,NA
PA8HH,50,PA,8,HIGH,HIGH,7.209037947655737,0.42563860272166826,42.56386027216683,8.512772054433366,NA,NA,NA,NA
PA7HL,50,PA,7,HIGH,LOW,5.274997661939228,0.1922656206648532,19.22656206648532,3.845312413297064,NA,NA,NA,NA
PA7HH,50,PA,7,HIGH,HIGH,6.481479234104398,0.2953858556516968,29.53858556516968,5.907717113033935,NA,NA,NA,NA
PA6HL,50,PA,6,HIGH,LOW,6.011312864135512,0.3800511994395267,38.00511994395267,7.601023988790533,NA,NA,NA,NA
