date,pre_post,AT,ET,SpeciesID,BW.g,Temp.c,Salinity,sw_dens,skel_dens,dry_weight.g
2/11/2023,pre,HIGH,HIGH,PA1HH,15.3131,29.113,36.4,1.023077670757843,2.93,23.52868929791758
2/11/2023,pre,LOW,LOW,ME1LL,1.4887,29.005,36.4,1.0231139910706906,2.93,2.287441923415832
2/11/2023,pre,LOW,HIGH,ME1LH,1.7013,29.034,36.4,1.0231042467337408,2.93,2.614096230201197
2/11/2023,pre,LOW,LOW,ME2LL,7.7473,29.007,36.5,1.0231884679117405,2.93,11.904474363620178
2/11/2023,pre,LOW,HIGH,ME2LH,2.3557,28.993,36.4,1.0231180214180902,2.93,3.619626740157751
2/11/2023,pre,LOW,LOW,ME3LL,5.4255,29.012,36.4,1.0231116395502247,2.93,8.33646863115283
2/11/2023,pre,LOW,HIGH,ME3LH,5.0285,29.011,36.5,1.0231871237095018,2.93,7.726770247462597
2/11/2023,pre,LOW,LOW,ME4LL,4.6439,28.944,36.5,1.0232096237245427,2.93,7.135879837288612
2/11/2023,pre,LOW,HIGH,ME4LH,2.8537,28.954,36.5,1.0232062675897666,2.93,4.385026475533388
2/11/2023,pre,LOW,LOW,ME5LL,2.0799,28.946,36.4,1.0231337968408347,2.93,3.1958755102501164
2/11/2023,pre,LOW,HIGH,ME5LH,5.4919,29.025,36.4,1.0231072714938279,2.93,8.438475200755331
2/11/2023,pre,LOW,LOW,ME6LL,4.453,29,36.4,1.02311567050961,2.93,6.842203167869577
2/11/2023,pre,LOW,HIGH,ME6LH,3.4462,29.04,36.5,1.0231773747596213,2.93,5.295388184691327
2/11/2023,pre,LOW,LOW,ME7LL,3.9574,29.015,36.4,1.0231106316464693,2.93,6.080678927908465
2/11/2023,pre,LOW,HIGH,ME7LH,3.5504,29.008,36.4,1.0231129833199146,2.93,5.45531639211178
2/11/2023,pre,LOW,LOW,ME8LL,5.8562,29.084,36.4,1.0230874317720322,2.93,8.998139865397706
2/11/2023,pre,LOW,HIGH,ME8LH,3.6567,29.056,36.4,1.0230968503926954,2.93,5.618602602972468
2/11/2023,pre,LOW,HIGH,ME9LH,6.9112,29.062,36.5,1.0231699749213672,2.93,10.619623004501909
2/11/2023,pre,LOW,LOW,ME9LL,6.8405,29.045,36.4,1.0231005490037166,2.93,10.51060400144772
2/11/2023,pre,LOW,LOW,ME10LL,3.154,29.09,36.5,1.0231605518525235,2.93,4.84635453130466
2/11/2023,pre,LOW,HIGH,ME10LH,7.1529,29.098,36.5,1.0231578584997607,2.93,10.990944947079338
2/11/2023,pre,LOW,LOW,ME11LL,4.3281,29.11,36.5,1.0231538175980068,2.93,6.650422628229892
