datetime,Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit...10,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit...28,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
2023-03-28T14:26:53Z,03/28/2023,14:26:53,9,default,868120454,OXY_9_1,0.000,min,191.286,μmol/L,Humid,20.74,deg,82068,µV,29.643,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228175.76,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:26:54Z,03/28/2023,14:26:54,9,default,868120454,OXY_9_1,0.022,min,191.298,μmol/L,Humid,20.739,deg,82054,µV,29.643,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228140.01,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:26:55Z,03/28/2023,14:26:55,9,default,868120454,OXY_9_1,0.039,min,191.396,μmol/L,Humid,20.736,deg,82043,µV,29.635,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228119.98,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:26:56Z,03/28/2023,14:26:56,9,default,868120454,OXY_9_1,0.056,min,191.403,μmol/L,Humid,20.739,deg,82029,µV,29.626,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228096.37,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:26:57Z,03/28/2023,14:26:57,9,default,868120454,OXY_9_1,0.072,min,191.322,μmol/L,Humid,20.735,deg,82016,µV,29.65,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228071.66,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:26:58Z,03/28/2023,14:26:58,9,default,868120454,OXY_9_1,0.089,min,191.443,μmol/L,Humid,20.736,deg,82008,µV,29.628,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228066.65,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:26:59Z,03/28/2023,14:26:59,9,default,868120454,OXY_9_1,0.106,min,191.568,μmol/L,Humid,20.732,deg,82009,µV,29.618,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228059.28,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:00Z,03/28/2023,14:27:00,9,default,868120454,OXY_9_1,0.123,min,191.432,μmol/L,Humid,20.739,deg,81999,µV,29.622,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228058.31,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:01Z,03/28/2023,14:27:01,9,default,868120454,OXY_9_1,0.139,min,191.427,μmol/L,Humid,20.736,deg,81989,µV,29.63,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228038.69,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:02Z,03/28/2023,14:27:02,9,default,868120454,OXY_9_1,0.155,min,191.307,μmol/L,Humid,20.738,deg,81993,µV,29.644,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228028.93,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:03Z,03/28/2023,14:27:03,9,default,868120454,OXY_9_1,0.172,min,191.481,μmol/L,Humid,20.732,deg,81984,µV,29.632,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228022.43,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:04Z,03/28/2023,14:27:04,9,default,868120454,OXY_9_1,0.189,min,191.484,μmol/L,Humid,20.734,deg,81981,µV,29.626,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228041.14,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:05Z,03/28/2023,14:27:05,9,default,868120454,OXY_9_1,0.205,min,191.464,μmol/L,Humid,20.734,deg,81969,µV,29.63,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228014.01,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:06Z,03/28/2023,14:27:06,9,default,868120454,OXY_9_1,0.222,min,191.359,μmol/L,Humid,20.736,deg,81967,µV,29.641,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228019.86,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:07Z,03/28/2023,14:27:07,9,default,868120454,OXY_9_1,0.239,min,191.292,μmol/L,Humid,20.736,deg,81959,µV,29.652,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228009.44,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:08Z,03/28/2023,14:27:08,9,default,868120454,OXY_9_1,0.255,min,191.492,μmol/L,Humid,20.732,deg,81952,µV,29.63,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228004.15,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:09Z,03/28/2023,14:27:09,9,default,868120454,OXY_9_1,0.272,min,191.406,μmol/L,Humid,20.734,deg,81952,µV,29.639,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,227992.72,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:10Z,03/28/2023,14:27:10,9,default,868120454,OXY_9_1,0.289,min,191.363,μmol/L,Humid,20.734,deg,81954,µV,29.646,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228010.94,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:11Z,03/28/2023,14:27:11,9,default,868120454,OXY_9_1,0.305,min,191.488,μmol/L,Humid,20.731,deg,81941,µV,29.634,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228005.75,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:12Z,03/28/2023,14:27:12,9,default,868120454,OXY_9_1,0.322,min,191.525,μmol/L,Humid,20.731,deg,81944,µV,29.628,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,228001.45,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:13Z,03/28/2023,14:27:13,9,default,868120454,OXY_9_1,0.339,min,191.52,μmol/L,Humid,20.731,deg,81946,µV,29.628,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,227999.87,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:14Z,03/28/2023,14:27:14,9,default,868120454,OXY_9_1,0.356,min,191.467,μmol/L,Humid,20.731,deg,81936,µV,29.637,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,227995.31,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:15Z,03/28/2023,14:27:15,9,default,868120454,OXY_9_1,0.372,min,191.455,μmol/L,Humid,20.732,deg,81929,µV,29.636,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,227996.71,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:16Z,03/28/2023,14:27:16,9,default,868120454,OXY_9_1,0.389,min,191.49,μmol/L,Humid,20.732,deg,81923,µV,29.631,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,227992.45,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
2023-03-28T14:27:17Z,03/28/2023,14:27:17,9,default,868120454,OXY_9_1,0.406,min,191.455,μmol/L,Humid,20.731,deg,81928,µV,29.639,°C,1012,hPa,36,pmil,0,55.4,deg,20,°C,100,%a.s.,22.63,deg,20,°C,972,hPa,0.861,-0.01371,3.97e-4,-1.3e-4,0,10.11,Humid,22.75,0,51,227993.64,SABD0000000001,AAV1.0.0.11,4.0.0.2293,PSt7-10,191107-136,3/25/2023 4:10:10 PM,0000-00,0,no battery,V,NA,µV,NA,µV
