SampleID,AT,ET,light_dark,P_R,mmol.gram.hr,mmol.gram.hr_uncorr,Temp.C
B6_H,LOW,HIGH,DARK,R,0.052358533808703256,0.057419514650625454,29.870509090909092
B6_L,LOW,LOW,DARK,R,0.06318364961480008,0.06748075324762512,29.485563636363636
B7_H,LOW,HIGH,DARK,R,0.04148990518039081,0.04518118498125201,29.6330625
B7_L,LOW,LOW,DARK,R,0.043219490392753905,0.046804479462057104,29.8711875
B8_H,LOW,HIGH,DARK,R,0.07662561486588122,0.08075552417691198,29.9575
B8_L,LOW,LOW,DARK,R,0.04586834041409134,0.04901170982119264,29.878453125
B9_H,LOW,HIGH,DARK,R,0.016778240031831027,0.03055811787215186,29.842269841269843
B9_L,LOW,LOW,DARK,R,0.04676972479624844,0.06854795497149749,29.772984126984127
A1_H,HIGH,HIGH,LIGHT,GP,0.05194145138038509,0.051654230370428836,29.930002765957447
A1_L,HIGH,LOW,LIGHT,GP,0.09099638645884603,0.09056761085327096,29.973146276595745
A10_H,HIGH,HIGH,LIGHT,GP,0.05389721234860398,0.06010982102560755,29.947421568627455
A2_H,HIGH,HIGH,LIGHT,GP,0.08107434293421595,0.08067692738858404,29.94851680851064
A2_L,HIGH,LOW,LIGHT,GP,0.05914553022383705,0.05885974197581939,29.811127765957444
A3_H,HIGH,HIGH,LIGHT,GP,0.0377272548682135,0.03924803277916075,29.894081757508342
A3_L,HIGH,LOW,LIGHT,GP,0.07263031583069728,0.0743410756443178,29.953058025322203
A4_H,HIGH,HIGH,LIGHT,GP,0.09609075841901527,0.09810087006526065,30.008515998311523
A4_L,HIGH,LOW,LIGHT,GP,0.0756338990012673,0.07738775787981439,30.07213737012434
A5_H,HIGH,HIGH,LIGHT,GP,0.07605321117918105,0.06776442317423537,29.816354545454544
A5_L,HIGH,LOW,LIGHT,GP,0.08769512504007876,0.08012069630061205,29.807862177328843
A6_H,HIGH,HIGH,LIGHT,GP,0.07906861337009519,0.06947532944389943,29.75685670995671
A6_L,HIGH,LOW,LIGHT,GP,0.09067292901598428,0.08221233385171993,29.501746355446357
A7_H,HIGH,HIGH,LIGHT,GP,0.11961310369140501,0.12135793781063757,29.924221293604653
A7_L,HIGH,LOW,LIGHT,GP,0.08230185855011915,0.08432679899788416,29.679379069767442
A8_H,HIGH,HIGH,LIGHT,GP,0.047877395838632396,0.04875935583694657,29.797387096774195
A8_L,HIGH,LOW,LIGHT,GP,0.13822684930358045,0.14024908679585102,29.91765625
A9_H,HIGH,HIGH,LIGHT,GP,0.09056709862143372,0.09816152679862628,29.849997058823533
A9_L,HIGH,LOW,LIGHT,GP,0.10963322175374568,0.11958068527101812,29.947496364958198
B1_H,LOW,HIGH,LIGHT,GP,0.15180581342745925,0.1511564824684187,29.84639083333333
