SpeciesID,Sp,SpRep,AT,ET,delWeight.g,pWeight,delWeight.g_norm,delTopLength.cm,pLength,delVolume.ml,pVolume
PR1HH,PR,1,HIGH,HIGH,5.193221445554755,47.469640637449416,0.08656335700077768,NA,NA,NA,NA
PR2HH,PR,2,HIGH,HIGH,4.513059307066966,29.333710999895686,0.06856872837700675,NA,NA,NA,NA
PR2HL,PR,2,HIGH,LOW,6.880090231684864,38.78280462305381,0.06807416971068525,NA,NA,NA,NA
PR3HH,PR,3,HIGH,HIGH,7.872585217109773,51.28438005820812,0.11619064146147536,NA,NA,NA,NA
PR3HL,PR,3,HIGH,LOW,0.3247401467924398,1.3518228606810894,0.0035432964883959635,NA,NA,NA,NA
PR4HH,PR,4,HIGH,HIGH,7.208699637480574,37.81505596168568,0.07426692367877949,NA,NA,NA,NA
PR4HL,PR,4,HIGH,LOW,5.675663494701041,35.2102224126367,0.06871795750156237,NA,NA,NA,NA
PR5HH,PR,5,HIGH,HIGH,5.633704117046124,46.16211139120155,0.10114192096882539,NA,NA,NA,NA
PR5HL,PR,5,HIGH,LOW,7.4294207960312715,60.33952127699295,0.10904124863330095,NA,NA,NA,NA
PR6HL,PR,6,HIGH,LOW,10.931752870636952,54.910764005276036,0.10917184979000973,NA,NA,NA,NA
PR6HH,PR,6,HIGH,HIGH,4.063507770693768,24.111844589723276,0.054547155052072645,NA,NA,NA,NA
PR7HH,PR,7,HIGH,HIGH,6.411596570347424,24.11755887158921,0.056298067063079264,NA,NA,NA,NA
PR8HH,PR,8,HIGH,HIGH,6.774863128844526,44.48233521203564,0.10097894362182533,NA,NA,NA,NA
PR8HL,PR,8,HIGH,LOW,5.611654476028566,47.55267350732936,0.08336799006933646,NA,NA,NA,NA
PR9HH,PR,9,HIGH,HIGH,10.556193780952338,47.683847463916514,0.09453923074055867,NA,NA,NA,NA
PR9HL,PR,9,HIGH,LOW,9.75083801504054,45.97332023482571,0.10863037025223632,NA,NA,NA,NA
PR10HH,PR,10,HIGH,HIGH,3.46241251561203,26.514859247354433,0.06616344581458154,NA,NA,NA,NA
PR10HL,PR,10,HIGH,LOW,3.406129894625776,24.61556312852523,0.06516003188292639,NA,NA,NA,NA
PR11HH,PR,11,HIGH,HIGH,7.932674001542928,32.80819342889572,0.08752800946906976,NA,NA,NA,NA
PR11HL,PR,11,HIGH,LOW,10.236279116196929,47.01707245523423,0.10156471593707893,NA,NA,NA,NA
PR12HH,PR,12,HIGH,HIGH,5.9806603339776,28.22807201204399,0.05672462942872844,NA,NA,NA,NA
PR12HL,PR,12,HIGH,LOW,7.760612055947735,40.47125394419723,0.07971519325658272,NA,NA,NA,NA
PA13HL,PA,13,HIGH,LOW,5.089485748594015,26.422474690365778,0.041278160580921194,NA,NA,NA,NA
PA13HH,PA,13,HIGH,HIGH,2.758120747644673,17.99548525186833,0.03210213137698931,NA,NA,NA,NA
PA12HL,PA,12,HIGH,LOW,5.1656732881818215,27.335918812558496,0.05691247471423329,NA,NA,NA,NA
PA12HH,PA,12,HIGH,HIGH,6.287920667889008,33.89382421749787,0.04843398404653949,NA,NA,NA,NA
PA11HL,PA,11,HIGH,LOW,2.6916590981696586,18.511193365562892,0.03205881152712241,NA,NA,NA,NA
PA11HH,PA,11,HIGH,HIGH,3.8789080221829764,31.302691630247992,0.04355997811261871,NA,NA,NA,NA
PA10HH,PA,10,HIGH,HIGH,9.485865224062056,32.62335269729424,0.0665022517148238,NA,NA,NA,NA
PA10HL,PA,10,HIGH,LOW,8.712905474720014,42.92164947964181,0.0720853115687881,NA,NA,NA,NA
PA9HL,PA,9,HIGH,LOW,6.084264076197126,30.121887878473714,0.05153904002790921,NA,NA,NA,NA
PA9HH,PA,9,HIGH,HIGH,4.712920634918309,17.6159850510603,0.041245567404498744,NA,NA,NA,NA
PA8HL,PA,8,HIGH,LOW,6.076841799907399,45.378409079553364,0.062449611500352685,NA,NA,NA,NA
PA8HH,PA,8,HIGH,HIGH,7.209037947655737,42.56386027216683,0.05710469207873402,NA,NA,NA,NA
PA7HL,PA,7,HIGH,LOW,5.274997661939228,19.22656206648532,0.039303068456656313,NA,NA,NA,NA
PA7HH,PA,7,HIGH,HIGH,6.481479234104398,29.53858556516968,0.04242040093120587,NA,NA,NA,NA
PA6HL,PA,6,HIGH,LOW,6.011312864135512,38.00511994395267,0.04507833266194668,NA,NA,NA,NA
PA6HH,PA,6,HIGH,HIGH,4.400026156736917,30.883025049221207,0.04407755596951732,NA,NA,NA,NA
PA5HL,PA,5,HIGH,LOW,7.821125339266128,37.40276538120524,0.054312487833643036,NA,NA,NA,NA
PA5HH,PA,5,HIGH,HIGH,9.148681339190627,58.59312943076013,0.06542912703240808,NA,NA,NA,NA
PA4HL,PA,4,HIGH,LOW,4.0320189221288985,31.31783854269469,0.03461653373129195,NA,NA,NA,NA
PA4HH,PA,4,HIGH,HIGH,3.1016997974151117,23.688282003430476,0.028431833512066473,NA,NA,NA,NA
PA3HL,PA,3,HIGH,LOW,3.5966263363884927,25.72434497144238,0.03065299570104806,NA,NA,NA,NA
PA3HH,PA,3,HIGH,HIGH,3.546608355372552,27.24915015579818,0.033059885879740375,NA,NA,NA,NA
PA2HL,PA,2,HIGH,LOW,2.924810085277098,15.33455963204267,0.039404585472911306,NA,NA,NA,NA
PA2HH,PA,2,HIGH,HIGH,2.775844404985053,21.71503770498361,0.04729471995364743,NA,NA,NA,NA
PA1HL,PA,1,HIGH,LOW,7.475748258965886,38.28857383176241,0.07196954090787769,NA,NA,NA,NA
