Serial Number:20555841 --,,,,,,
,,,,,,
"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)",Button Down,Button Up,Host Connect,EOF
2/8/2023 21:46,23.03,178, , , , 
2/8/2023 21:48,23.03,177, , , , 
2/8/2023 21:50,22.99,176, , , , 
2/8/2023 21:52,22.95,177, , , , 
2/8/2023 21:54,22.99,176, , , , 
2/8/2023 21:56,23.03,177, , , , 
2/8/2023 21:58,22.99,177, , , , 
2/8/2023 22:00,22.95,176, , , , 
2/8/2023 22:02,22.95,176, , , , 
2/8/2023 22:04,23.03,177, , , , 
2/8/2023 22:06,23.03,177, , , , 
2/8/2023 22:08,23.03,174, , , , 
2/8/2023 22:10,22.99,176, , , , 
2/8/2023 22:12,23.03,177, , , , 
2/8/2023 22:14,23.03,177, , , , 
2/8/2023 22:16,23.08,177, , , , 
2/8/2023 22:18,23.03,176, , , , 
2/8/2023 22:20,22.99,177, , , , 
2/8/2023 22:22,23.03,176, , , , 
2/8/2023 22:24,23.03,177, , , , 
2/8/2023 22:26,23.08,177, , , , 
2/8/2023 22:28,23.08,175, , , , 
2/8/2023 22:30,22.99,175, , , , 
2/8/2023 22:32,23.03,176, , , , 
2/8/2023 22:34,23.08,176, , , , 
2/8/2023 22:36,23.03,176, , , , 
2/8/2023 22:38,23.03,175, , , , 
2/8/2023 22:40,22.99,176, , , , 
2/8/2023 22:42,22.99,177, , , , 
2/8/2023 22:44,22.99,177, , , , 
2/8/2023 22:46,23.08,175, , , , 
2/8/2023 22:48,23.03,175, , , , 
2/8/2023 22:50,22.95,176, , , , 
2/8/2023 22:52,22.99,176, , , , 
2/8/2023 22:54,23.03,177, , , , 
2/8/2023 22:56,23.08,178, , , , 
2/8/2023 22:58,23.03,177, , , , 
2/8/2023 23:00,22.95,176, , , , 
2/8/2023 23:02,22.95,177, , , , 
2/8/2023 23:04,22.99,177, , , , 
2/8/2023 23:06,23.03,177, , , , 
2/8/2023 23:08,22.99,175, , , , 
2/8/2023 23:10,22.95,173, , , , 
2/8/2023 23:12,22.95,175, , , , 
2/8/2023 23:14,23.03,175, , , , 
2/8/2023 23:16,23.03,176, , , , 
2/8/2023 23:18,22.99,175, , , , 
2/8/2023 23:20,22.95,176, , , , 
2/8/2023 23:22,22.99,176, , , , 
2/8/2023 23:24,22.99,177, , , , 
2/8/2023 23:26,22.99,176, , , , 
2/8/2023 23:28,22.95,175, , , , 
2/8/2023 23:30,22.95,176, , , , 
2/8/2023 23:32,22.99,175, , , , 
2/8/2023 23:34,22.99,176, , , , 
2/8/2023 23:36,22.99,174, , , , 
2/8/2023 23:38,22.95,172, , , , 
2/8/2023 23:40,22.95,175, , , , 
2/8/2023 23:42,22.99,177, , , , 
2/8/2023 23:44,22.99,177, , , , 
2/8/2023 23:46,22.99,176, , , , 
2/8/2023 23:48,22.91,176, , , , 
2/8/2023 23:50,22.91,176, , , , 
2/8/2023 23:52,22.95,177, , , , 
2/8/2023 23:54,22.95,176, , , , 
2/8/2023 23:56,22.95,176, , , , 
2/8/2023 23:58,22.91,175, , , , 
2/9/2023 0:00,22.91,176, , , , 
2/9/2023 0:02,22.95,177, , , , 
2/9/2023 0:04,22.95,177, , , , 
2/9/2023 0:06,22.95,176, , , , 
2/9/2023 0:08,22.91,175, , , , 
2/9/2023 0:10,22.91,177, , , , 
2/9/2023 0:12,22.95,177, , , , 
2/9/2023 0:14,22.95,178, , , , 
2/9/2023 0:16,22.99,176, , , , 
2/9/2023 0:18,22.91,174, , , , 
2/9/2023 0:20,22.91,174, , , , 
2/9/2023 0:22,22.95,177, , , , 
2/9/2023 0:24,22.99,177, , , , 
2/9/2023 0:26,22.95,176, , , , 
2/9/2023 0:28,22.91,176, , , , 
2/9/2023 0:30,22.95,177, , , , 
2/9/2023 0:32,22.95,177, , , , 
2/9/2023 0:34,23.03,176, , , , 
2/9/2023 0:36,22.99,176, , , , 
2/9/2023 0:38,22.95,177, , , , 
2/9/2023 0:40,22.95,176, , , , 
2/9/2023 0:42,22.99,177, , , , 
2/9/2023 0:44,23.03,174, , , , 
2/9/2023 0:46,22.99,172, , , , 
2/9/2023 0:48,22.99,175, , , , 
2/9/2023 0:50,22.99,177, , , , 
2/9/2023 0:52,23.03,176, , , , 
2/9/2023 0:54,22.99,176, , , , 
2/9/2023 0:56,22.95,176, , , , 
2/9/2023 0:58,22.95,176, , , , 
2/9/2023 1:00,22.99,176, , , , 
2/9/2023 1:02,22.99,176, , , , 
2/9/2023 1:04,22.95,175, , , , 
2/9/2023 1:06,22.95,175, , , , 
2/9/2023 1:08,22.95,176, , , , 
2/9/2023 1:10,23.03,175, , , , 
2/9/2023 1:12,22.99,173, , , , 
2/9/2023 1:14,22.91,175, , , , 
2/9/2023 1:16,22.95,176, , , , 
2/9/2023 1:18,22.99,175, , , , 
2/9/2023 1:20,22.99,177, , , , 
2/9/2023 1:22,23.08,177, , , , 
2/9/2023 1:24,22.99,175, , , , 
2/9/2023 1:26,22.99,177, , , , 
2/9/2023 1:28,22.99,0, , , , 
2/9/2023 1:30,22.99,0, , , , 
2/9/2023 1:32,22.91,0, , , , 
2/9/2023 1:34,22.86,0, , , , 
2/9/2023 1:36,22.91,0, , , , 
2/9/2023 1:38,22.86,0, , , , 
2/9/2023 1:40,22.91,0, , , , 
2/9/2023 1:42,22.99,0, , , , 
2/9/2023 1:44,22.86,0, , , , 
2/9/2023 1:46,22.86,0, , , , 
2/9/2023 1:48,22.91,0, , , , 
2/9/2023 1:50,22.91,0, , , , 
2/9/2023 1:52,22.95,0, , , , 
2/9/2023 1:54,22.86,0, , , , 
2/9/2023 1:56,22.86,0, , , , 
